Specialist,Symptom
Orthopedist,"Frequent falls"
Orthopedist,"Difficulty walking"
Orthopedist,"Bone pain"
Cardiologist,"Lightheadedness"
Cardiologist,"Palpitations"
Cardiologist,"Increased heart rate"
Endocrinologist,"Cold intolerance"
Endocrinologist,"Heat intolerance"
Endocrinologist,"Excessive thirst and urination"
Endocrinologist,"Increased appetite"
Dermatologist,"Dry skin"
Dermatologist,"Itchy skin"
Doctor, Symptoms
Cardiologist,"Shortness of breath, Dizziness, Chest pain, Irregular heartbeat, Chest tightness, Dizziness when standing, Fainting, Chest pressure, Lightheadedness, Palpitations, Increased heart rate"
Pulmonologist,"Shortness of breath, Cough, Difficulty breathing, Chest tightness, Wheezing, Persistent cough, Worsening cough"
Neurologist,"Headache, Muscle weakness, Numbness, Confusion, Memory loss, Frequent headaches, Tingling sensation, Difficulty with balance, Hand tremors, Numbness in extremities, Difficulty concentrating, Hallucinations"
Gastroenterologist,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Stomach bloating, Stomach cramps, Bleeding, Swollen glands, Loss of appetite, Feeling full quickly after eating, Bloody stool, Skin irritation, Increased urination at night, Decreased urination"
General Practitioner,"Fever, Fatigue, Weight loss, Weight gain, Swollen glands, Loss of appetite, Feeling full quickly after eating, Unexplained weight loss, Unexplained weight gain, Chronic fatigue"
Orthopedist,"Back pain, Stiffness in joints, Muscle cramps, Neck pain, Swollen joints, Frequent falls, Difficulty walking, Bone pain"
Otolaryngologist,"Difficulty swallowing, Sore throat, Swelling, Difficulty speaking, Swollen glands, Snoring, Loss of smell, Loss of taste, Dry eyes"
Urologist,"Frequent urination, Painful urination, Blood in urine, Increased urination at night, Decreased urination"
Psychiatrist,"Depression, Anxiety, Panic attacks, Paranoia, Hallucinations, Difficulty concentrating"
Endocrinologist,"Excessive thirst, Excessive hunger, Excessive sweating, Cold intolerance, Heat intolerance, Excessive thirst and urination, Increased appetite"
Ophthalmologist,"Vision problems, Sudden vision loss, Dry eyes"
Dermatologist,"Rash, Hair loss, Skin irritation, Dry skin, Itchy skin"
Hematologist,"Bruising easily"
Sleep Specialist,"Insomnia, Sleepiness, Restlessness during sleep, Nightmares"
Doctor,Symptoms
Cardiologist,"Shortness of breath, Dizziness, Chest pain, Irregular heartbeat, Chest tightness, Dizziness when standing, Fainting, Chest pressure, Lightheadedness, Palpitations, Increased heart rate"
Pulmonologist,"Shortness of breath, Cough, Difficulty breathing, Chest tightness, Wheezing, Persistent cough, Worsening cough"
Neurologist,"Headache, Muscle weakness, Numbness, Confusion, Memory loss, Frequent headaches, Tingling sensation, Difficulty with balance, Hand tremors, Numbness in extremities, Difficulty concentrating, Hallucinations"
Gastroenterologist,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Stomach bloating, Stomach cramps, Bleeding, Swollen glands, Loss of appetite, Feeling full quickly after eating, Bloody stool, Skin irritation, Increased urination at night, Decreased urination"
General Practitioner,"Fever, Fatigue, Weight loss, Weight gain, Swollen glands, Loss of appetite, Feeling full quickly after eating, Unexplained weight loss, Unexplained weight gain, Chronic fatigue"
Orthopedist,"Back pain, Stiffness in joints, Muscle cramps, Neck pain, Swollen joints, Frequent falls, Difficulty walking, Bone pain"
Otolaryngologist,"Difficulty swallowing, Sore throat, Swelling, Difficulty speaking, Swollen glands, Snoring, Loss of smell, Loss of taste, Dry eyes"
Urologist,"Frequent urination, Painful urination, Blood in urine, Increased urination at night, Decreased urination"
Psychiatrist,"Depression, Anxiety, Panic attacks, Paranoia, Hallucinations, Difficulty concentrating"
Endocrinologist,"Excessive thirst, Excessive hunger, Excessive sweating, Cold intolerance, Heat intolerance, Excessive thirst and urination, Increased appetite"
Ophthalmologist,"Vision problems, Sudden vision loss, Dry eyes"
Dermatologist,"Rash, Hair loss, Skin irritation, Dry skin, Itchy skin"
Hematologist,"Bruising easily"
Sleep Specialist,"Insomnia, Sleepiness, Restlessness during sleep, Nightmares"
Gynecologist,"Irregular menstruation, Pelvic pain, Vaginal discharge, Pain during intercourse, Menstrual cramps"
Pediatrician,"Fever, Cough, Rash, Vomiting, Diarrhea, Ear pain, Sore throat, Runny nose, Difficulty breathing, Fatigue"
Allergist,"Runny nose, Sneezing, Itchy eyes, Skin rash, Difficulty breathing, Swelling"
Dentist,"Toothache, Gum pain, Tooth sensitivity, Bleeding gums, Bad breath"
Rheumatologist,"Joint pain, Stiffness in joints, Swollen joints"
Nephrologist,"Frequent urination, Blood in urine, Decreased urination, Swelling"
Oncologist,"Unexplained weight loss, Fatigue, Swollen glands, Bruising easily, Bleeding, Pain"
Gastrointestinal Surgeon,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Bleeding, Difficulty swallowing"
Pain Management Specialist,"Chronic pain, Muscle pain, Joint pain, Back pain, Headache"
Vascular Surgeon,"Leg pain, Leg swelling, Leg discoloration, Leg ulcers"
Infectious Disease Specialist,"Fever, Fatigue, Chills, Cough, Sore throat, Muscle aches"
Geriatrician,"Memory loss, Mobility issues, Falls, Weakness, Incontinence"
Hepatologist,"Abdominal pain, Nausea, Vomiting, Jaundice, Swelling"
Dietitian,"Weight loss, Weight gain, Nutritional deficiencies, Digestive issues"
Podiatrist,"Foot pain, Ankle pain, Toe pain, Ingrown toenails, Foot deformities"
Immunologist,"Frequent infections, Allergies, Autoimmune diseases"
Sports Medicine Physician,"Muscle strain, Ligament sprain, Joint pain, Fractures, Concussions"
Reproductive Endocrinologist,"Infertility, Irregular menstruation, Hormonal imbalances"
Plastic Surgeon,"Skin abnormalities, Cosmetic concerns, Body contouring"
Pulmonary Surgeon,"Difficulty breathing, Chest pain, Coughing up blood, Wheezing, Chest tightness"
Addiction Psychiatrist,"Substance abuse, Withdrawal symptoms, Behavioral addictions"
Pulmonary Hypertension Specialist,"Shortness of breath, Chest pain, Fatigue, Dizziness, Swelling"
Psychiatric Nurse Practitioner,"Depression, Anxiety, Bipolar disorder, PTSD, Schizophrenia"
Speech Therapist,"Speech difficulties, Swallowing difficulties, Voice disorders, Language disorders"
Cardiothoracic Surgeon,"Chest pain, Difficulty breathing, Heart murmurs, Abnormal heart rhythms, Coughing up blood"
Medical Geneticist,"Family history of genetic disorders, Birth defects, Genetic testing"
Neonatologist,"Premature birth complications, Birth defects, Breathing problems, Feeding difficulties"
Pain Psychologist,"Chronic pain, Emotional distress, Coping strategies, Behavioral interventions"
Cardiac Rehabilitation Specialist,"Heart disease recovery, Exercise therapy, Lifestyle modifications"
Dermatopathologist,"Skin biopsy interpretation, Dermatological diseases diagnosis, Skin cancer diagnosis"
Forensic Psychiatrist,"Criminal behavior assessment, Mental health evaluations, Court testimony"
Neuropsychologist,"Memory loss, Cognitive decline, Brain injury rehabilitation, Neuropsychological testing"
Occupational Therapist,"Work-related injuries, Physical disabilities, Developmental disorders, Stroke recovery"
Clinical Nurse Specialist,"Chronic illness management, Patient education, Treatment planning"
Reproductive Genetic Counselor,"Family planning, Genetic testing, Fertility counseling, Prenatal counseling"
Critical Care Nurse,"Life-threatening conditions management, Intensive care, Emergency response"
Pediatric Cardiologist,"Heart murmurs, Chest pain, Shortness of breath, Fainting, Palpitations"
Doctor,Symptoms
Pulmonologist,"Shortness of breath, Cough, Difficulty breathing, Chest tightness, Wheezing, Persistent cough, Worsening cough"
Neurologist,"Headache, Muscle weakness, Numbness, Confusion, Memory loss, Frequent headaches, Tingling sensation, Difficulty with balance, Hand tremors, Numbness in extremities, Difficulty concentrating, Hallucinations"
Gastroenterologist,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Stomach bloating, Stomach cramps, Bleeding, Swollen glands, Loss of appetite, Feeling full quickly after eating, Bloody stool, Skin irritation, Increased urination at night, Decreased urination"
General Practitioner,"Fever, Fatigue, Weight loss, Weight gain, Swollen glands, Loss of appetite, Feeling full quickly after eating, Unexplained weight loss, Unexplained weight gain, Chronic fatigue"
Orthopedist,"Back pain, Stiffness in joints, Muscle cramps, Neck pain, Swollen joints, Frequent falls, Difficulty walking, Bone pain"
Otolaryngologist,"Difficulty swallowing, Sore throat, Swelling, Difficulty speaking, Swollen glands, Snoring, Loss of smell, Loss of taste, Dry eyes"
Urologist,"Frequent urination, Painful urination, Blood in urine, Increased urination at night, Decreased urination"
Psychiatrist,"Depression, Anxiety, Panic attacks, Paranoia, Hallucinations, Difficulty concentrating"
Endocrinologist,"Excessive thirst, Excessive hunger, Excessive sweating, Cold intolerance, Heat intolerance, Excessive thirst and urination, Increased appetite"
Ophthalmologist,"Vision problems, Sudden vision loss, Dry eyes"
Dermatologist,"Rash, Hair loss, Skin irritation, Dry skin, Itchy skin"
Hematologist,"Bruising easily"
Sleep Specialist,"Insomnia, Sleepiness, Restlessness during sleep, Nightmares"
Gynecologist,"Irregular menstruation, Pelvic pain, Vaginal discharge, Pain during intercourse, Menstrual cramps"
Pediatrician,"Fever, Cough, Rash, Vomiting, Diarrhea, Ear pain, Sore throat, Runny nose, Difficulty breathing, Fatigue"
Allergist,"Runny nose, Sneezing, Itchy eyes, Skin rash, Difficulty breathing, Swelling"
Dentist,"Toothache, Gum pain, Tooth sensitivity, Bleeding gums, Bad breath"
Rheumatologist,"Joint pain, Stiffness in joints, Swollen joints"
Nephrologist,"Frequent urination, Blood in urine, Decreased urination, Swelling"
Oncologist,"Unexplained weight loss, Fatigue, Swollen glands, Bruising easily, Bleeding, Pain"
Gastrointestinal Surgeon,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Bleeding, Difficulty swallowing"
Pain Management Specialist,"Chronic pain, Muscle pain, Joint pain, Back pain, Headache"
Vascular Surgeon,"Leg pain, Leg swelling, Leg discoloration, Leg ulcers"
Infectious Disease Specialist,"Fever, Fatigue, Chills, Cough, Sore throat, Muscle aches"
Geriatrician,"Memory loss, Mobility issues, Falls, Weakness, Incontinence"
Hepatologist,"Abdominal pain, Nausea, Vomiting, Jaundice, Swelling"
Dietitian,"Weight loss, Weight gain, Nutritional deficiencies, Digestive issues"
Podiatrist,"Foot pain, Ankle pain, Toe pain, Ingrown toenails, Foot deformities"
Immunologist,"Frequent infections, Allergies, Autoimmune diseases"
Sports Medicine Physician,"Muscle strain, Ligament sprain, Joint pain, Fractures, Concussions"
Reproductive Endocrinologist,"Infertility, Irregular menstruation, Hormonal imbalances"
Plastic Surgeon,"Skin abnormalities, Cosmetic concerns, Body contouring"
Pulmonary Surgeon,"Difficulty breathing, Chest pain, Coughing up blood, Wheezing, Chest tightness"
Addiction Psychiatrist,"Substance abuse, Withdrawal symptoms, Behavioral addictions"
Pulmonary Hypertension Specialist,"Shortness of breath, Chest pain, Fatigue, Dizziness, Swelling"
Psychiatric Nurse Practitioner,"Depression, Anxiety, Bipolar disorder, PTSD, Schizophrenia"
Speech Therapist,"Speech difficulties, Swallowing difficulties, Voice disorders, Language disorders"
Cardiothoracic Surgeon,"Chest pain, Difficulty breathing, Heart murmurs, Abnormal heart rhythms, Coughing up blood"
Medical Geneticist,"Family history of genetic disorders, Birth defects, Genetic testing"
Neonatologist,"Premature birth complications, Birth defects, Breathing problems, Feeding difficulties"
Pain Psychologist,"Chronic pain, Emotional distress, Coping strategies, Behavioral interventions"
Cardiac Rehabilitation Specialist,"Heart disease recovery, Exercise therapy, Lifestyle modifications"
Dermatopathologist,"Skin biopsy interpretation, Dermatological diseases diagnosis, Skin cancer diagnosis"
Forensic Psychiatrist,"Criminal behavior assessment, Mental health evaluations, Court testimony"
Neuropsychologist,"Memory loss, Cognitive decline, Brain injury rehabilitation, Neuropsychological testing"
Occupational Therapist,"Work-related injuries, Physical disabilities, Developmental disorders, Stroke recovery"
Clinical Nurse Specialist,"Chronic illness management, Patient education, Treatment planning"
Reproductive Genetic Counselor,"Family planning, Genetic testing, Fertility counseling, Prenatal counseling"
Critical Care Nurse,"Life-threatening conditions management, Intensive care, Emergency response"
Pediatric Cardiologist,"Heart murmurs, Chest pain, Shortness of breath, Fainting, Palpitations"
Hospitalist,"Generalized weakness, Fever, Confusion, Fatigue, Shortness of breath, Chest pain, Dizziness, Abdominal pain, Vomiting, Diarrhea, Jaundice, Swelling"
Naturopathic Doctor,"Digestive issues, Fatigue, Insomnia, Allergies, Skin problems, Stress"
Cardiac Electrophysiologist,"Irregular heartbeat, Palpitations, Chest pain, Dizziness, Fainting"
Gynecologic Oncologist,"Abnormal vaginal bleeding, Pelvic pain, Pain during intercourse, Abdominal swelling, Vaginal discharge"
Plastic and Reconstructive Surgeon,"Cosmetic concerns, Birth defects, Trauma-related injuries, Breast reconstruction"
Neurocritical Care Specialist,"Stroke, Traumatic brain injury, Seizures, Intracranial hemorrhage, Neurological emergencies"
Developmental Pediatrician,"Developmental delays, Learning disabilities, Behavioral issues, Autism spectrum disorders"
Interventional Radiologist,"Minimally invasive procedures, Imaging-guided interventions, Vascular conditions, Tumor embolization"
Maternal-Fetal Medicine Specialist,"High-risk pregnancies, Multiple gestations, Fetal abnormalities, Maternal health complications"
Pediatric Gastroenterologist,"Abdominal pain, Nausea, Vomiting, Diarrhea, Constipation, Poor weight gain, Swollen glands"
Forensic Pathologist,"Cause of death determination, Autopsy, Crime scene investigation"
Pain Anesthesiologist,"Chronic pain management, Nerve blocks, Epidural injections, Pain pump management"
Occupational Medicine Specialist,"Work-related injuries, Occupational diseases, Return-to-work evaluations"
Vascular Medicine Specialist,"Peripheral artery disease, Deep vein thrombosis, Varicose veins, Leg ulcers"
Peripheral Nerve Surgeon,"Peripheral nerve injuries, Carpal tunnel syndrome, Nerve entrapment syndromes, Nerve tumors"
Pediatric Dermatologist,"Skin rashes, Birthmarks, Acne, Eczema, Psoriasis in children"
Pediatric Hematologist-Oncologist,"Anemia, Bleeding disorders, Leukemia, Lymphoma, Brain tumors in children"
Pediatric Neurologist,"Seizures, Developmental delays, Cerebral palsy, Headaches, Autism spectrum disorders in children"
Pediatric Orthopedic Surgeon,"Broken bones, Sports injuries, Scoliosis, Clubfoot, Limb deformities in children"
Pediatric Otolaryngologist,"Ear infections, Tonsil and adenoid problems, Speech and language disorders, Airway problems in children"
Pediatric Urologist,"Urinary tract infections, Bedwetting, Hydronephrosis, Undescended testicles, Genital abnormalities in children"
Pediatric Endocrinologist,"Growth problems, Diabetes, Thyroid disorders, Puberty disorders, Adrenal disorders in children"
Pediatric Cardiac Surgeon,"Congenital heart defects, Heart valve problems, Atrial septal defect, Ventricular septal defect in children"
Pediatric Pulmonologist,"Asthma, Cystic fibrosis, Pneumonia, Chronic cough, Respiratory distress in children"
Pediatric Infectious Disease Specialist,"Fever, Recurrent infections, Meningitis, Pneumonia, Skin infections in children"
Pediatric Rheumatologist,"Juvenile arthritis, Lupus, Kawasaki disease, Systemic sclerosis, Autoinflammatory disorders in children"
Pediatric Nephrologist,"Kidney problems, Bedwetting, Blood in urine, High blood pressure, Protein in urine in children"
Pediatric Gastrointestinal Surgeon,"Congenital anomalies, Intestinal obstruction, Appendicitis, Hirschsprung disease in children"
Pediatric Anesthesiologist,"Anesthesia for surgeries, Pain management, Sedation for procedures in children"
Pediatric Critical Care Specialist,"Severe infections, Respiratory failure, Trauma, Post-operative care in children"
Pediatric Emergency Medicine Specialist,"Acute illnesses, Injuries, Poisoning, Seizures, Pediatric resuscitation"
Pediatric Radiologist,"Imaging interpretation, X-rays, Ultrasound, CT scans, MRI scans in children"
Pediatric Nurse Practitioner,"Well-child check-ups, Sick visits, Vaccinations, Developmental screenings in children"
Pediatric Physical Therapist,"Developmental delays, Muscle weakness, Coordination difficulties, Orthopedic conditions in children"
Pediatric Occupational Therapist,"Sensory processing disorders, Fine motor delays, Handwriting difficulties, Activities of daily living in children"
Pediatric Speech-Language Pathologist,"Speech delays, Language delays, Articulation disorders, Stuttering in children"
Pediatric Dietitian,"Nutritional counseling, Picky eating, Weight management, Food allergies in children"
Pediatric Dentist,"Cavities, Tooth decay, Dental injuries, Tooth eruption problems, Tongue-tie in children"
Pediatric Pharmacist,"Pediatric medication dosing, Medication safety, Pediatric drug interactions"
Pediatric Social Worker,"Family support, Counseling, Resources for families of children with chronic illnesses"
Pediatric Genetic Counselor,"Genetic testing, Birth defects, Inherited conditions, Family planning in children"
Pediatric Audiologist,"Hearing screenings, Auditory processing evaluations, Hearing aid fittings in children"
Pediatric Optometrist,"Vision screenings, Eye exams, Glasses fittings, Vision therapy in children"
Pediatric Cardiac Sonographer,"Echocardiograms, Fetal echocardiograms, Stress echocardiograms in children"
Cardiologist,"Shortness of breath, Feeling like your heart is racing, Chest pain that spreads to your arms, Dizziness or lightheadedness"
Pulmonologist,"Difficulty catching your breath, Persistent cough that won't go away, Wheezing like a whistle when you breathe, Coughing up blood"
Neurologist,"Constant headaches, Weakness or numbness in one side of the body, Trouble speaking or understanding speech, Sudden dizziness or loss of balance"
Gastroenterologist,"Frequent stomach pain or cramps, Nausea or vomiting after meals, Chronic diarrhea or constipation, Blood in your stool"
General Practitioner,"Frequent fevers, Unexplained weight loss, Persistent fatigue or tiredness, Recurring infections"
Orthopedist,"Persistent joint pain or stiffness, Swelling or bruising around a joint, Difficulty moving a joint normally, Inability to bear weight on a limb"
Otolaryngologist,"Chronic sore throat, Difficulty swallowing food or liquids, Ringing in the ears, Persistent hoarseness"
Urologist,"Burning sensation during urination, Frequent need to urinate, Blood in urine, Difficulty starting or maintaining a urine stream"
Psychiatrist,"Persistent sadness or hopelessness, Severe anxiety or worry, Mood swings or irritability, Difficulty sleeping or excessive sleeping"
Endocrinologist,"Excessive thirst or hunger, Sudden weight loss or gain, Changes in sleep patterns, Persistent fatigue"
Ophthalmologist,"Blurred or double vision, Eye pain or redness, Sensitivity to light, Seeing halos around lights"
Dermatologist,"Persistent itching or rash, Changes in the appearance of a mole or skin lesion, Excessive hair loss, Persistent acne"
Hematologist,"Frequent bruising or bleeding, Excessive fatigue or weakness, Unexplained weight loss, Swollen lymph nodes"
Sleep Specialist,"Difficulty falling asleep or staying asleep, Persistent daytime fatigue, Loud snoring, Pauses in breathing during sleep"
Cardiologist,"Feeling tightness or pressure in your chest, Shortness of breath with exertion, Feeling dizzy or lightheaded during physical activity, Irregular or rapid heartbeat"
Pulmonologist,"Persistent cough with mucus, Shortness of breath after mild exertion, Feeling like you can't get enough air, Wheezing that gets worse with activity"
Neurologist,"Persistent tingling or numbness in your limbs, Sudden severe headache, Sudden difficulty speaking or understanding speech, Sudden loss of vision"
Gastroenterologist,"Persistent abdominal discomfort after eating, Feeling full quickly after eating small amounts, Unexplained weight loss, Chronic diarrhea or constipation"
General Practitioner,"Frequent headaches that don't respond to medication, Persistent fever without an obvious cause, Chronic fatigue that interferes with daily life, Unexplained joint pain or swelling"
Orthopedist,"Persistent joint pain that worsens with activity, Limited range of motion in a joint, Swelling or tenderness around a joint, Grating sensation or popping sound in a joint"
Otolaryngologist,"Persistent ear pain or pressure, Difficulty hearing conversations, Frequent nosebleeds, Chronic bad breath despite good oral hygiene"
Urologist,"Pain or burning during urination, Frequent urge to urinate even when bladder is empty, Blood in urine without pain, Difficulty starting or stopping urine flow"
Psychiatrist,"Persistent feelings of worthlessness or guilt, Loss of interest in previously enjoyed activities, Thoughts of self-harm or suicide, Difficulty concentrating or making decisions"
Endocrinologist,"Frequent urination, Increased thirst, Unexplained weight changes, Persistent fatigue despite adequate rest"
Ophthalmologist,"Sudden vision changes, Floaters or flashes of light in vision, Eye pain with movement, Double vision"
Dermatologist,"New or changing moles or skin lesions, Persistent itching or burning sensation, Skin changes such as thickening or scaling, Sudden hair loss"
Hematologist,"Easy bruising or bleeding, Swollen lymph nodes, Persistent fatigue or weakness, Unexplained fever"
Sleep Specialist,"Loud or disruptive snoring, Episodes of gasping or choking during sleep, Persistent daytime sleepiness, Restless legs or difficulty staying asleep"
Gynecologist,"Irregular menstrual cycles, Excessive bleeding during menstruation, Pelvic pain or discomfort, Painful intercourse"
Pediatrician,"Frequent infections, Poor weight gain or growth, Delayed developmental milestones, Persistent vomiting or diarrhea"
Allergist,"Chronic runny or stuffy nose, Itchy or watery eyes, Skin rash or hives, Difficulty breathing or wheezing"
Dentist,"Tooth pain or sensitivity, Bleeding gums, Loose teeth, Persistent bad breath"
Rheumatologist,"Joint stiffness that lasts more than an hour in the morning, Swelling or tenderness in multiple joints, Persistent fatigue or weakness, Skin rashes or nodules"
Nephrologist,"Swelling in the legs, ankles, or feet, Foamy or bloody urine, Changes in urination frequency or amount, Persistent high blood pressure"
Oncologist,"Unexplained weight loss, Persistent fatigue, Changes in bowel or bladder habits, Persistent cough or hoarseness"
Gastrointestinal Surgeon,"Severe abdominal pain or cramping, Persistent vomiting, Difficulty swallowing, Blood in vomit or stool"
Pain Management Specialist,"Chronic pain that interferes with daily activities, Pain that doesn't respond to over-the-counter medications, Persistent numbness or tingling in extremities, Shooting or burning pain"
Vascular Surgeon,"Cold or numb extremities, Swelling or discoloration in the legs, Persistent leg pain or cramping, Non-healing wounds on the legs or feet"
Infectious Disease Specialist,"Persistent fever, Chills or sweats, Unexplained weight loss, Persistent cough or respiratory symptoms"
Geriatrician,"Memory loss or confusion, Frequent falls or unsteadiness, Loss of appetite or unintended weight loss, Difficulty with daily activities or self-care"
Hepatologist,"Jaundice (yellowing of the skin or eyes), Abdominal swelling or distension, Persistent fatigue or weakness, Changes in urine or stool color"
Dietitian,"Unintended weight loss or gain, Chronic digestive issues, Food intolerances or allergies, Difficulty maintaining a balanced diet"
Podiatrist,"Foot pain or swelling, Difficulty walking or bearing weight, Persistent ingrown toenails, Changes in skin or nail color or texture"
Immunologist,"Frequent or recurrent infections, Chronic sinus congestion, Allergic reactions to foods, medications, or environmental triggers, Persistent fatigue or malaise"
Sports Medicine Physician,"Persistent pain or swelling in a joint or muscle, Difficulty with range of motion or flexibility, Recurrent injuries during physical activity, Difficulty recovering from exercise"
Reproductive Endocrinologist,"Irregular menstrual cycles, Difficulty conceiving, Hormonal imbalances, Polycystic ovary syndrome (PCOS)"
Plastic Surgeon,"Changes in breast size or shape, Skin laxity or sagging, Facial wrinkles or volume loss, Scarring or disfigurement"
Pulmonary Surgeon,"Persistent chest pain or discomfort, Difficulty breathing, Coughing up blood, Chronic cough or wheezing"
Addiction Psychiatrist,"Difficulty controlling substance use, Withdrawal symptoms when substance use is stopped, Increased tolerance to a substance, Continued substance use despite negative consequences"
Pulmonary Hypertension Specialist,"Shortness of breath during physical activity, Fatigue or weakness, Chest pain or pressure, Swelling in the legs or abdomen"
Psychiatric Nurse Practitioner,"Persistent mood swings, Changes in appetite or sleep patterns, Difficulty concentrating or making decisions, Thoughts of self-harm or suicide"
Speech Therapist,"Difficulty with speech or articulation, Trouble swallowing food or liquids, Voice changes or hoarseness, Stuttering or stammering"
Cardiothoracic Surgeon,"Persistent chest pain or discomfort, Difficulty breathing, Irregular or rapid heartbeat, Chronic cough or wheezing"
Medical Geneticist,"Family history of genetic disorders, Birth defects or developmental delays, Unexplained health issues, Genetic testing or counseling"
Neonatologist,"Premature birth or low birth weight, Breathing difficulties at birth, Jaundice or feeding problems in newborns, Birth defects or congenital anomalies"
Pain Psychologist,"Chronic pain that affects mood or daily functioning, Difficulty coping with pain, Relationship or social issues related to pain, Sleep disturbances or fatigue due to pain"
Cardiac Rehabilitation Specialist,"Recent heart attack or heart surgery, Heart disease diagnosis, High blood pressure or cholesterol, Difficulty with physical activity due to heart condition"
